        Point        |       Minimum       |        Maximum      
(   -5.000;   -2.000)|(  -12.156;    9.347)|( -221.106; -217.801)
(   -5.000;   -1.200)|(   -5.019;   -3.399)|(   -3.531;   -0.991)
(   -5.000;   -0.400)|(   -8.115;    1.720)|( -706.783; -706.174)
(   -5.000;    0.400)|(   -1.754;    1.612)|(   -7.146;    0.197)
(   -5.000;    1.200)|(   -6.560;   -0.843)|(   -1.888;    2.773)
(   -5.000;    2.000)|(   -9.778;    4.322)|( -704.307; -703.680)
(   -3.000;   -2.000)|(   -1.065;   -4.736)|(   -3.531;   -0.991)
(   -3.000;   -1.200)|(   -2.620;   -2.174)|(   -4.517;    1.485)
(   -3.000;   -0.400)|(   -3.321;    4.181)|(   -2.547;   -3.470)
(   -3.000;    0.400)|(   -4.158;    0.384)|(   -0.904;    0.297)
(   -3.000;    1.200)|(   -1.754;    1.612)|( -704.605; -704.162)
(   -3.000;    2.000)|(   -1.754;    1.612)|(   -1.888;    2.773)
(   -1.000;   -2.000)|(   -1.065;   -4.736)|(    0.085;   -2.180)
(   -1.000;   -1.200)|(   -1.754;    1.612)|(   -5.188;   -4.764)
(   -1.000;   -0.400)|(   -2.620;   -2.174)|(    1.723;    1.586)
(   -1.000;    0.400)|(   -1.754;    1.612)|(    0.085;   -2.180)
(   -1.000;    1.200)|(   -3.321;    4.181)|(   -0.904;    0.297)
(   -1.000;    2.000)|(   -0.217;   -0.947)|(    3.386;    5.354)
(    1.000;   -2.000)|(    4.590;    1.508)|(   -2.547;   -3.470)
(    1.000;   -1.200)|(   -0.217;   -0.947)|(    1.723;    1.586)
(    1.000;   -0.400)|(   -0.217;   -0.947)|(    7.973;    1.688)
(    1.000;    0.400)|(    2.187;    0.281)|(   -1.888;    2.773)
(    1.000;    1.200)|(    1.331;   -3.509)|(    0.744;    4.062)
(    1.000;    2.000)|(    0.648;    2.840)|(    2.712;   -0.892)
(    3.000;   -2.000)|(    5.336;   -4.862)|(    0.085;   -2.180)
(    3.000;   -1.200)|(    3.731;   -2.280)|(    1.723;    1.586)
(    3.000;   -0.400)|(    4.590;    1.508)|(    0.085;   -2.180)
(    3.000;    0.400)|(    3.731;   -2.280)|(    7.973;    1.688)
(    3.000;    1.200)|(    8.532;    0.176)|(    4.354;    2.876)
(    3.000;    2.000)|(    4.590;    1.508)|(    0.744;    4.062)
(    5.000;   -2.000)|(    5.336;   -4.862)|(  705.993;  705.443)
(    5.000;   -1.200)|(    6.133;   -1.051)|(    3.685;   -3.363)
(    5.000;   -0.400)|(  701.889; -701.364)|(  706.198;  705.670)
(    5.000;    0.400)|(    4.590;    1.508)|(    7.973;    1.688)
(    5.000;    1.200)|(    3.045;    4.066)|(    5.340;    0.397)
(    5.000;    2.000)|(    5.336;   -4.862)|(  215.417;  212.040)
